TIME,DISP,TEMP
2860,1.88828,12.4939
2865,1.89679,12.4586
2870,1.9062,12.4173
2875,1.91508,12.3638
2880,1.92387,12.3121
2885,1.91285,12.2838
2890,1.96439,12.2289
2895,1.97702,12.2052
2900,1.97743,12.1881
2905,1.97846,12.2128
2910,1.98611,12.2054
2915,1.98926,12.2056
2920,1.99434,12.1906
2925,1.9961,12.1915
2930,2.00413,12.1708
2935,2.00413,12.1753
2940,2.00195,12.1693
2945,2.00478,12.186
2950,2.00872,12.1821
2955,2.01062,12.1853
2960,2.01154,12.1804
2965,2.0065,12.1511
2970,2.02203,12.095
2975,2.03246,12.0726
2980,2.03375,12.0242
2985,2.04158,11.9791
2990,2.04172,11.9303
2995,2.05894,11.8811
3000,2.06984,11.8432
3005,2.07323,11.8016
3010,2.07677,11.7801
3015,2.08593,11.7741
3020,2.09114,11.805
3025,2.09829,11.8084
3030,2.10066,11.8232
3035,2.08391,11.834
3040,2.09954,11.8424
3045,2.09484,11.8639
3050,2.10163,11.85
3055,2.10159,11.8388
3060,2.10517,11.818
3065,2.10679,11.777
3070,2.11367,11.7692
3075,2.11344,11.7784
3080,2.11878,11.7872
3085,2.11925,11.7965
3090,2.12617,11.7952
3095,2.13124,11.7875
3100,2.13741,11.6855
3105,2.14526,11.6291
3110,2.15533,11.5986
3115,2.15816,11.5862
3120,2.1602,11.577
3125,2.16299,11.5757
3130,2.16688,11.5613
3135,2.17518,11.5374
3140,2.17625,11.5126
3145,2.17774,11.5114
3150,2.18478,11.4499
3155,2.18701,11.3983
3160,2.18956,11.3656
3165,2.19568,11.3129
3170,2.20504,11.2888
3175,2.2118,11.2552
3180,2.21189,11.2614
3185,2.21805,11.2636
3190,2.21801,11.2741
3195,2.21995,11.2737
3200,2.22088,11.2737
3205,2.2225,11.2788
3210,2.21638,11.2872
3215,2.21856,11.3755
3220,2.21166,11.4281
3225,2.19883,11.4723
3230,2.19438,11.531
3235,2.16837,11.6827
3240,2.16178,11.6813
3245,2.14771,11.7367
3250,2.14753,11.787
3255,2.11961,11.8457
3260,2.12407,11.9127
3265,2.10399,11.9958
3270,2.08613,12.111
3275,2.07452,12.2231
3280,2.03857,12.3531
3285,2.00348,12.5012
3290,1.98659,12.5999
3295,1.9299,12.6942
3300,1.91665,12.795
3305,1.85427,12.9235
3310,1.84145,13.0442
3315,1.74933,13.1145
3320,1.75889,13.1632
3325,1.73472,13.2298
3330,1.68075,13.3116
3335,1.64861,13.3794
3340,1.63623,13.5007
3345,1.55819,13.5779
3350,1.56511,13.7161
3355,1.54432,13.8986
3360,1.46921,14.0209
3365,1.45135,14.0767
3370,1.41188,14.1154
3375,1.4132,14.2181
3380,1.37232,14.2759
3385,1.30079,14.3621
3390,1.17919,14.4687
3395,1.20857,14.5972
3400,1.23137,14.7111
3405,1.1597,14.8649
3410,0.9865,14.974
3415,0.921167,15.0875
3420,1.04245,15.2193
3425,0.932741,15.2198
3430,0.880428,15.3051
3435,0.942958,15.3644
3440,0.851223,15.5413
3445,0.764341,15.6901
3450,0.530369,15.8637
3455,0.672889,15.9388
3460,0.547286,15.9273
3465,0.49811,16.025
3470,0.278112,16.1641
3475,0.344204,16.2985
3480,0.221552,16.414
3485,0.331785,16.4799
3490,0.27021,16.5884
3495,0.224895,16.6739
3500,0.065081,16.8091
3505,-0.078638,16.839
3510,0.058346,16.8602
3515,-0.001304,16.9297
3520,-0.065769,16.9937
3525,-0.318777,17.0852
3530,-0.190706,17.1926
3535,-0.210566,17.2408
3540,-0.652487,17.3359
3545,-0.48534,17.3788
3550,-0.195451,17.3388
3555,-0.341083,17.4166
3560,-0.114412,17.5225
3565,-0.506993,17.6365
3570,-0.609946,17.7673
3575,-0.588417,17.8557
3580,-0.592112,17.8672
3585,-0.439671,17.9165
3590,-0.858247,18.1264
3595,-0.831872,18.3041
3600,-0.741984,18.3431
3605,-0.854404,18.4657
3610,-0.974247,18.481
3615,-0.721369,18.5045
3620,-0.902145,18.5493
3625,-1.03119,18.6522
3630,-1.02732,18.7334
3635,-1.09155,18.8448
3640,-1.18478,19.0025
3645,-1.3436,19.0856
3650,-1.31152,19.1947
3655,-1.50034,19.2191
3660,-1.49067,19.243
3665,-1.56679,19.4072
3670,-1.52407,19.5391
3675,-1.58639,19.5314
3680,-1.60831,19.698
3685,-1.6089,19.7709
3690,-1.76299,19.841
3695,-1.82626,19.8457
3700,-1.65029,19.8493
3705,-1.76903,19.7732
3710,-1.79328,19.8467
3715,-1.74526,19.943
3720,-1.97323,20.0004
3725,-1.75098,20.2066
3730,-1.74806,20.3929
3735,-1.85534,20.6306
3740,-1.79145,20.7934
3745,-1.81028,20.9111
3750,-1.71495,20.8406
3755,-1.89511,20.84
3760,-1.7237,20.8305
3765,-2.02953,20.7768
3770,-1.80581,20.7975
3775,-1.80046,20.7855
3780,-1.79783,20.8086
3785,-1.93573,20.81
3790,-1.79927,20.7665
3795,-2.17338,20.8313
3800,-2.25155,20.8719
3805,-1.88265,20.894
3810,-1.89458,20.8763
3815,-2.0245,20.8519
3820,-1.99352,20.8612
3825,-1.89844,20.8502
3830,-1.9774,20.8734
3835,-1.91352,20.7886
3840,-2.14268,20.6834
3845,-2.10458,20.6534
3850,-2.01491,20.6593
3855,-1.99071,20.4852
3860,-1.88587,20.446
3865,-1.86004,20.4648
3870,-1.84554,20.4991
3875,-1.8865,20.4217
3880,-2.18493,20.4547
3885,-1.86767,20.4201
3890,-1.90635,20.2808
3895,-1.86464,20.2176
3900,-1.81964,20.1803
3905,-1.62385,20.1588
3910,-1.61856,20.1604
3915,-1.63084,20.1734
3920,-1.66885,19.9892
3925,-1.562,19.9855
3930,-1.52352,19.9631
3935,-1.50333,19.9244
3940,-1.43764,19.9008
3945,-1.33429,19.7793
3950,-1.27273,19.8107
3955,-1.21628,19.6863
3960,-1.26816,19.6044
3965,-1.0568,19.4707
3970,-0.992997,19.3957
3975,-0.891689,19.3143
3980,-0.920003,19.2995
3985,-0.836215,19.2954
3990,-0.859054,19.1443
3995,-0.680169,19.0932
4000,-0.587636,18.9415
4005,-0.496792,18.8498
4010,-0.534069,18.7501
4015,-0.385153,18.5622
4020,-0.247364,18.3649
4025,-0.146154,18.2393
4030,-0.059468,18.1098
4035,0.000822,17.9619
4040,0.062765,17.8415
4045,0.095004,17.7496
4050,0.127678,17.647
4055,0.225082,17.4936
